decision,notes,project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,delta_shape,last_evidence_date,evidence_count,supporting_evidence_count,evidence_ids,winning_source_type,winning_source_tier,winning_evidence_date,winning_collected_at,winning_source_record_id,raw_value,canonical_name,match_type,match_score,requires_review,review_cluster
,,7b8d4db6-1aec-4dc6-bc10-8270d34cf732,Lake on Wilshire,1930 WEST WILSHIRE BOULEVARD LOS ANGELES CA 90057,developer,Rojas Revocable Family Trust,Walter J. Samson,most_recent_wins_canonicalized,high,low,value_changed,2026-04-16,2,1,"[""bb2fd7b3-f2bc-41fb-aa62-59c524041c4c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10185726,Walter J Company,Walter J. Samson,fuzzy_auto,100.0,false,
,,0049e891-2bb3-44b9-8030-bd5d381a64d0,,12757 MITCHELL AVENUE LOS ANGELES CA 90066,developer,Helio / UCLA,Beach City Capital LLC,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""7ad9f728-ac66-40a2-a105-180bd1395b1d""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11079100,Beach City Capital LLC,Beach City Capital LLC,new_registry_entry,,true,helio_ucla
,,45e8e6d4-e97c-4d93-a997-19173cd84ba1,,9750 AIRPORT BOULEVARD LOS ANGELES CA 90045,developer,Helio / UCLA,Capital Insight,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""abba0c88-0b6a-46aa-91ec-2b42511c1b94""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21375778,Capital Insight,Capital Insight,new_registry_entry,,true,helio_ucla
,,612367ad-f5be-403d-8335-88a6c0c60237,York Lofts,5633-5637 YORK BOULEVARD LOS ANGELES CA 90042,developer,Helio / UCLA,Madison Capital Group,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""886738fa-370c-42bd-9156-7ab15ee0ce42""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10160599,Madison Capital Group,Madison Capital Group,new_registry_entry,,true,helio_ucla
,,218720e5-d4f5-44d6-b225-b8e275bedb21,,6239 BANNER AVENUE LOS ANGELES CA 90038,developer,Helio / UCLA,"Onward Capital, Inc.",most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""9c2c04f7-0d50-453a-beca-b811de6bf4db""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20916337,"Onward Capital, Inc.","Onward Capital, Inc.",new_registry_entry,,true,helio_ucla
,,4d18ac33-d568-49eb-952c-fb521b22b3e6,,142 EAST VERNON AVENUE LOS ANGELES CA 90011,developer,Helio / UCLA,Pacific Integrated Capital,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""4ec89511-59b1-4260-a006-f3127e7dd6de""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11198084,Pacific Integrated Capital,Pacific Integrated Capital,new_registry_entry,,true,helio_ucla
,,33f4e566-eae8-40a6-b258-09a26bb067ef,,2511 WEST SUNSET BOULEVARD LOS ANGELES CA 90026,developer,Helio / UCLA,Six Peak Capital,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,1,1,"[""14dc0bc8-ec85-41db-8eac-8332aef902af""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,20291659,Six Peak Capital,Six Peak Capital,new_registry_entry,,true,helio_ucla
,,14035c96-23f9-40f0-ac8e-2cb1ffcdc35a,,9033 RAMSGATE AVENUE LOS ANGELES CA 90045,developer,Helio / UCLA,Six Peak Capital,most_recent_wins_canonicalization_review_required,medium,low,value_changed,2026-04-16,2,1,"[""352f9ccb-ea92-4457-9de8-a5a4b7ad275c""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21478382,Six Peak Capital,Six Peak Capital,new_registry_entry,,true,helio_ucla
,,39735360-f786-4db5-9a62-2502e7e7ae4f,3547 S Overland Ave,3555 OVERLAND AVENUE LOS ANGELES CA 90034,developer,Helio / UCLA,"Starkwood, Inc.",most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""ad109854-2eeb-4473-a4c6-ec8b0b0dd9fc""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11106674,"Starkwood, Inc.","Starkwood, Inc.",new_registry_entry,,true,helio_ucla
,,6948db7e-b3b7-4c0f-b2ff-aa93cc881de0,Melrose Crossing,7000 WEST MELROSE AVENUE LOS ANGELES CA 90036,developer,Helio / UCLA,Tiger West Capital,most_recent_wins_canonicalization_review_required,high,low,value_changed,2026-04-16,2,1,"[""4c871a5c-3595-4dc7-ba2b-aefa4fd8b4ac""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,9779081,Tiger West Capital,Tiger West Capital,new_registry_entry,,true,helio_ucla
